I_D,FLAG_TSUNAMI,YEAR,EQ_PRIMARY,COUNTRY,LATITUDE,LONGITUDE,REGION_CODE,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
9954,Tsu,1700,9,USA,45,-125,150,,1,,,,,,3,,,,
6997,Tsu,1700,7,JAPAN,34.2,129.3,30,1000,3,,,,,,3,,3,,
5990,Tsu,1700,6.5,SOUTH KOREA,36.5,126.5,30,,,,,,,,,,,,
1151,,1701,,HAITI,18.3,-72.4,90,,,,,,,,,,,,
1152,,1701,,MEXICO,16.5,-97,150,,,,,,,,,,,,
1153,,1702,,ITALY,41.1,14.5,130,,,,,,,,,,,,
1154,,1702,,MARTINIQUE,14.4,-61,90,,,,,,,,,,,,
1157,,1703,,ITALY,42.78,13.1,130,40000,4,,,,,,4,,4,,
1161,Tsu,1703,6.7,ITALY,42.467,13.2,130,10000,4,,,,,,3,,3,,
1162,,1703,,IRAN,26.6,56.2,140,,,,,,,,,,,,
9996,Tsu,1703,3.2,ITALY,44.4,8.917,130,,,,,,,,,,,,
1163,Tsu,1703,8.2,JAPAN,35,140,30,5233,4,,,,,,4,20162,4,,
1155,,1703,,IRAN,26.4,55.5,140,,,,,,,,,,,,
1166,,1704,,JAPAN,41,139.5,30,58,2,,,,,,3,1314,4,,
1167,,1704,5.5,CHINA,38,116.5,30,,3,,,,,,2,,2,,
7920,,1704,6,CHINA,34.9,106.8,30,,4,,,,,,3,,3,,
1168,,1704,,GREECE,38.8,20.8,130,,,,,,,,,,,,
1169,Tsu,1705,,CHILE,-18.6,-70.2,160,,,,,,,,2,,,,
1170,,1706,,ICELAND,63.9,-21.2,120,,,,,,,,,,,,
1172,,1706,,ITALY,41.6,14.6,130,,,,,,,,,,,,
1174,,1707,5.8,PERU,-13,-72,160,,,,,,,,,,,,
1176,Tsu,1707,8.4,JAPAN,34.1,137.8,30,2000,4,,,,,,3,10000,4,,
1178,Tsu,1707,8.4,JAPAN,33.2,134.8,30,5000,4,,,,,,4,77000,4,,
1173,,1707,,TURKEY,40.4,43,140,,,,,,,,,,,,
6880,,1707,,EL SALVADOR,,,100,,3,,,,,,4,,,,
5992,Tsu,1708,7,JAPAN,34,137,30,,,,,,,,1,,,,
1179,,1708,,FRANCE,43.8,5.8,120,,,,,,,,,,,,
5993,Tsu,1708,,INDONESIA,-3.69,128.15,170,,,,,,,,1,,,,
1180,,1709,7.5,CHINA,37.4,105.3,30,2032,4,,,,,,4,,4,,
5994,Tsu,1710,,INDONESIA,-4.53,129.9,170,,,,,,,,3,,,,3
8100,Tsu,1710,5.5,CHINA,27.8,111.3,30,,,,,,,,2,,3,,
1181,,1711,,JAPAN,35.5,133,30,,,,,,,,,,,,
1182,,1711,,MEXICO,19.2,-103.7,150,,2,,,,,,3,,,,
6021,Tsu,1711,7,INDONESIA,-4,129,170,2,1,,,,,,1,2,1,,
1184,,1711,,FRANCE,47,0.1,120,,,,,,,,,,,,
5995,Tsu,1711,6.7,JAPAN,34.3,134,30,1000,3,,,,,,3,1713,4,,
1185,,1713,6.8,CHINA,25.4,103.2,30,2100,4,,,,,,4,,4,,
1186,,1713,6.5,CHINA,32,103.7,30,,3,,,,,,1,,1,,
10498,,1713,,INDIA,27.5,93,60,,3,,,,,,3,,3,,
1187,,1714,,JAPAN,36.5,138,30,56,2,,,,,,1,300,3,,
1188,,1714,,MEXICO,17,-96.3,150,,,,,,,,,,,,
1189,,1714,6.3,GREECE,38.2,21.7,130,,,,,,,,2,,3,,
7706,Tsu,1714,,MYANMAR (BURMA),21.85,95.967,60,,,,,,,,,,,,
1190,,1714,,GREECE,38.25,21.73,130,,,,,,,,1,,1,,
1192,,1715,6.6,TURKEY,38.7,43.9,140,,3,,,,,,3,,3,,
5996,Tsu,1715,7.5,PERU,-17.3,-70.8,160,,1,,,,,,1,,1,,
6032,Tsu,1715,6.6,JAPAN,33.3,131.7,30,,,,,,,,,,,,
1191,,1715,,TURKEY,38.3,43.2,140,,,,,,,,,,,,
1197,,1716,,ALGERIA,36.8,3,15,,,,,,,,1,,,,
1198,,1716,8.8,PERU,-17.2,-71.2,160,,,,,,,,,,,,
1201,,1716,8.6,PERU,-13.7,-76,160,,,,,,,,,,,,
1202,,1716,,MEXICO,29,-114,150,,,,,,,,,,,,
1203,,1716,,ALGERIA,36.8,3,15,20000,4,,,,,,4,,,,
1205,Tsu,1716,,PHILIPPINES,14.002,120.993,170,,1,,,,,,3,,3,,
1196,,1716,7.5,CHINA,41.2,80.3,40,,,,,,,,3,,,,
1207,,1717,7.6,JAPAN,39,142.7,30,,,,,,,,,,,,
1208,,1717,,CROATIA,44.1,15.2,130,,,,,,,,,,,,
1206,,1717,,USA TERRITORY,18.3,-66.4,90,,,,,,,,,,,,
1210,,1718,7.5,CHINA,35,105.2,30,73000,4,,,,,,4,,4,,
1212,,1719,,TURKEY,40.8,29.4,140,,,,,,,,,,,,
1211,,1719,,MOROCCO,31.4,-8,15,,,,,,,,,,,,
6881,,1719,,EL SALVADOR,,,100,,3,,,,,,4,,,,
1213,,1720,6.8,CHINA,40.4,115.5,30,,2,,,,,,2,,2,,
1215,,1720,,INDIA,29,77.5,60,,,,,,,,,,,,
1216,,1720,,AZORES (PORTUGAL),38.218,-26.635,130,,,,,,,,,,,,
7962,,1720,5.5,TAIWAN,20.3,120.3,30,,3,,,,,,1,,1,,
1218,,1720,,AZORES (PORTUGAL),38.2,-26.6,130,,,,,,,,,,,,
1219,,1720,,SWITZERLAND,47.4,9.5,120,,,,,,,,,,,,
7921,,1721,6,TAIWAN,23,120.3,30,,3,,,,,,3,,3,,
1220,,1721,,CROATIA,45.3,14.4,130,,,,,,,,,,,,
1221,,1721,,PHILIPPINES,18,121.5,170,,,,,,,,,,,,
1222,,1721,7.7,IRAN,37.9,46.7,140,40000,4,,,,,,4,,4,,
8117,Tsu,1721,,TAIWAN,23,120.2,30,2000,4,,,,,,4,,4,,
1225,,1722,,GREECE,38.7,20.6,130,,,,,,,,2,,3,,
9533,Tsu,1722,,INDONESIA,-6.174,106.829,60,,,,,,,,,,,,
1227,Tsu,1722,,PORTUGAL,37.2,-7.6,130,,3,,,,,,2,27,1,,
1228,Tsu,1723,7,GREECE,38.5,20.5,130,,1,,,,,,2,,3,,
1230,,1725,7.7,PERU,-9,-79,160,1500,4,,,,,,3,,3,,
1234,,1725,7.6,PERU,-16.4,-70.8,160,,,,,,,,1,,,,1
